entity_id,time,sector,fuel,value,source_id
IN,2016,residential,electricity,22.001036,src-29ecbb6dce9d
IN,2016,residential,oil,26.7557108,src-29ecbb6dce9d
IN,2016,transport,electricity,1.348738,src-29ecbb6dce9d
IN,2016,transport,oil,39.24172275,src-29ecbb6dce9d
IN,2017,agriculture,electricity,17.135242,src-29ecbb6dce9d
IN,2017,agriculture,gas,0.174823562956204,src-29ecbb6dce9d
IN,2017,agriculture,oil,0.70787995,src-29ecbb6dce9d
IN,2017,cgd-and-others,gas,11.3838814248783,src-29ecbb6dce9d
IN,2017,commercial,electricity,8.06293,src-29ecbb6dce9d
IN,2017,commercial,oil,2.45833115,src-29ecbb6dce9d
IN,2017,industry,coal,152.91072158461134,src-29ecbb6dce9d
IN,2017,industry,electricity,40.300718,src-29ecbb6dce9d
IN,2017,industry,gas,6.96704273114355,src-29ecbb6dce9d
IN,2017,industry,oil,24.91706667,src-29ecbb6dce9d
IN,2017,non-energy,gas,19.2176420316302,src-29ecbb6dce9d
IN,2017,non-energy,oil,20.91054974,src-29ecbb6dce9d
IN,2017,other,electricity,6.091724,src-29ecbb6dce9d
IN,2017,other,oil,89.0522358,src-29ecbb6dce9d
IN,2017,residential,electricity,23.52487,src-29ecbb6dce9d
IN,2017,residential,oil,26.79461295,src-29ecbb6dce9d
IN,2017,transport,electricity,1.499238,src-29ecbb6dce9d
IN,2017,transport,oil,43.0223637,src-29ecbb6dce9d
IN,2018,agriculture,electricity,18.353174,src-29ecbb6dce9d
IN,2018,agriculture,gas,0.177598540145985,src-29ecbb6dce9d
IN,2018,agriculture,oil,0.78747037846188,src-29ecbb6dce9d
IN,2018,cgd-and-others,gas,12.1544000912409,src-29ecbb6dce9d
IN,2018,commercial,electricity,8.447608,src-29ecbb6dce9d
IN,2018,commercial,oil,2.77411372727104,src-29ecbb6dce9d
IN,2018,industry,coal,161.3370281087088,src-29ecbb6dce9d
IN,2018,industry,electricity,44.650856,src-29ecbb6dce9d
IN,2018,industry,gas,7.52296316149635,src-29ecbb6dce9d
IN,2018,industry,oil,22.7043456622227,src-29ecbb6dce9d
IN,2018,non-energy,gas,18.8430201110097,src-29ecbb6dce9d
IN,2018,non-energy,oil,32.6223507649819,src-29ecbb6dce9d
IN,2018,other,electricity,6.196988,src-29ecbb6dce9d
IN,2018,other,oil,83.3068941337944,src-29ecbb6dce9d
