state,year,total_votes,n_parties_inside_threshold,cumsum_pct,n_outside_threshold,outside_vote_pct,unk_outside_threshold,outside_labels
goa,1998,532766,4,99.7,1,0.3,0,IND
goa,1999,987102,6,95.6,8,4.4,0,ABHS | CPI | CPM | GMLP | GVP | JD | NCP | SHS
gujarat,1962,10487383,5,97.4,6,2.6,0,CPI | HMS | JS | REP | RRP | SOC
gujarat,1964,56735,2,96.2,3,3.8,0,HMS | IND | SWA
gujarat,1967,12775690,3,95.5,4,4.5,0,BJS | PSP | RPI | SSP
gujarat,1969,193111,2,95.4,1,4.6,0,IND
gujarat,1970,41511,2,100.0,0,0.0,0,
gujarat,1971,6130038,4,95.6,6,4.4,0,BJS | BKD | HMS | PSP | RPK | SSP
gujarat,1972,7221963,4,96.8,6,3.2,0,CPI | CPM | HMS | RSP | SOP | SWA
gujarat,1975,8059752,5,96.2,6,3.8,0,BLD | CPI | CPM | RMP | RPI | SP
gujarat,1977,8112371,2,96.5,1,3.5,0,IND
gujarat,1978,26840,3,100.0,0,0.0,0,
gujarat,1980,16644288,5,96.3,6,3.7,0,CPI | CPM | INC(U) | JNP(S) | JNP(SC) | JNP(SR)
gujarat,1981,154313,4,99.9,1,0.1,0,IN D
gujarat,1982,142281,4,100.0,0,0.0,0,
gujarat,1984,10633951,4,96.7,4,3.3,0,CPI | CPM | DDP | LKD
gujarat,1985,9222623,4,99.0,3,1.0,0,CPI | CPM | DDP
gujarat,1987,53423,4,100.0,0,0.0,0,
gujarat,1988,374976,4,99.7,1,0.3,0,RPI
gujarat,1989,12942999,3,95.4,10,4.6,0,BJS | BSP | DDP | DMM | GJP | IND | JNP (JP) | LKD (B) | RPI | RPK
gujarat,1990,12685977,4,97.2,22,2.8,0,BJS | BKUS | BSP | CPI | CPM | DDP | DMM | GJL | GJP | HMS | ICS(SCS) | IPF | JNP(JP) | LKD(B) | RPI | RPI(B) | RPK | RPM | SHS | SOP(L) | SOP(P) | YVP
gujarat,1991,11008213,4,95.9,19,4.1,0,AHF | BJS | BSP | DDP | DMM | FBL | HSH | ICS(SCS) | IND | JNP | JP | MSD | PBI | RPI | RPK | SCP | SLI | SMP | YVP
gujarat,1995,18048194,4,96.9,23,3.1,0,ABJS | BMSM | BSP | CPI | CPI(ML)(L) | CPM | DDP | GSP | HSS | IUML | LKD | RPI | RPI(D) | RPI(K) | RPM | RSP | RSRP | SAP | SHS | SJP(R) | SOLI | SOP(L) | SP
gujarat,1996,10157136,4,96.1,19,3.9,0,ABHM | ABJS | BMSM | BSP | CPI | CPM | GAVP | ICS | JD | RJP | RJP (G) | RJP(G) | RPI | RSRP | SAP | SHS | SLI | SMP | SP
