state_slug,pc_name_normalized,tcpd_reservation,eci_2024_derived_reservation,agreement
tamil-nadu,tenkasi,SC,SC,AGREE
tamil-nadu,thanjavur,GEN,GEN,AGREE
tamil-nadu,theni,GEN,GEN,AGREE
tamil-nadu,thiruvallur,SC,,TCPD_ONLY
tamil-nadu,thoothukkudi,GEN,GEN,AGREE
tamil-nadu,tiruchirappalli,GEN,GEN,AGREE
tamil-nadu,tirunelveli,GEN,GEN,AGREE
tamil-nadu,tiruppur,GEN,GEN,AGREE
tamil-nadu,tiruvallur,,SC,ECI_ONLY
tamil-nadu,tiruvannamalai,GEN,GEN,AGREE
tamil-nadu,vellore,GEN,GEN,AGREE
tamil-nadu,viluppuram,SC,SC,AGREE
tamil-nadu,virudhunagar,GEN,GEN,AGREE
telangana,adilabad,ST,ST,AGREE
telangana,bhongir,GEN,GEN,AGREE
telangana,chevella,GEN,GEN,AGREE
telangana,hyderabad,GEN,GEN,AGREE
telangana,karimnagar,GEN,GEN,AGREE
telangana,khammam,GEN,GEN,AGREE
telangana,mahabubabad,ST,ST,AGREE
telangana,mahbubnagar,GEN,GEN,AGREE
telangana,malkajgiri,GEN,GEN,AGREE
telangana,medak,GEN,GEN,AGREE
telangana,nagarkurnool,SC,SC,AGREE
telangana,nalgonda,GEN,GEN,AGREE
telangana,nizamabad,GEN,GEN,AGREE
telangana,peddapalle,SC,SC,AGREE
telangana,secunderabad,,GEN,ECI_ONLY
telangana,secundrabad,GEN,,TCPD_ONLY
telangana,warangal,SC,SC,AGREE
telangana,zahirabad,GEN,GEN,AGREE
tripura,tripura east,ST,ST,AGREE
tripura,tripura west,GEN,GEN,AGREE
uttar-pradesh,agra,SC,SC,AGREE
uttar-pradesh,akbarpur,GEN,GEN,AGREE
uttar-pradesh,aligarh,GEN,GEN,AGREE
uttar-pradesh,allahabad,GEN,GEN,AGREE
uttar-pradesh,ambedkar nagar,GEN,GEN,AGREE
uttar-pradesh,amethi,GEN,GEN,AGREE
uttar-pradesh,amroha,GEN,GEN,AGREE
uttar-pradesh,aonla,GEN,GEN,AGREE
uttar-pradesh,azamgarh,GEN,GEN,AGREE
uttar-pradesh,badaun,GEN,GEN,AGREE
uttar-pradesh,baghpat,GEN,GEN,AGREE
uttar-pradesh,baharaich,,SC,ECI_ONLY
uttar-pradesh,bahraich,SC,,TCPD_ONLY
uttar-pradesh,ballia,GEN,GEN,AGREE
uttar-pradesh,banda,GEN,GEN,AGREE
uttar-pradesh,bansgaon,SC,SC,AGREE
uttar-pradesh,barabanki,SC,SC,AGREE
uttar-pradesh,bareilly,GEN,GEN,AGREE
uttar-pradesh,basti,GEN,GEN,AGREE
uttar-pradesh,bhadohi,GEN,GEN,AGREE
uttar-pradesh,bijnor,GEN,GEN,AGREE
uttar-pradesh,bulandshahr,SC,SC,AGREE
uttar-pradesh,chandauli,GEN,GEN,AGREE
uttar-pradesh,deoria,GEN,GEN,AGREE
uttar-pradesh,dhaurahra,GEN,GEN,AGREE
uttar-pradesh,domariyaganj,GEN,GEN,AGREE
uttar-pradesh,etah,GEN,GEN,AGREE
uttar-pradesh,etawah,SC,SC,AGREE
uttar-pradesh,faizabad,GEN,GEN,AGREE
uttar-pradesh,farrukhabad,GEN,GEN,AGREE
uttar-pradesh,fatehpur,GEN,GEN,AGREE
uttar-pradesh,fatehpur sikri,GEN,GEN,AGREE
uttar-pradesh,firozabad,GEN,GEN,AGREE
uttar-pradesh,gautam buddh nagar,GEN,,TCPD_ONLY
uttar-pradesh,gautam buddha nagar,GEN,GEN,AGREE
uttar-pradesh,ghaziabad,GEN,GEN,AGREE
uttar-pradesh,ghazipur,GEN,GEN,AGREE
uttar-pradesh,ghosi,GEN,GEN,AGREE
uttar-pradesh,gonda,GEN,GEN,AGREE
uttar-pradesh,gorakhpur,GEN,GEN,AGREE
uttar-pradesh,hamirpur,GEN,GEN,AGREE
uttar-pradesh,hardoi,SC,SC,AGREE
uttar-pradesh,hathras,SC,SC,AGREE
uttar-pradesh,jalaun,SC,SC,AGREE
uttar-pradesh,jaunpur,GEN,GEN,AGREE
uttar-pradesh,jhansi,GEN,GEN,AGREE
uttar-pradesh,kairana,GEN,GEN,AGREE
uttar-pradesh,kaiserganj,GEN,GEN,AGREE
uttar-pradesh,kannauj,GEN,GEN,AGREE
uttar-pradesh,kanpur,GEN,GEN,AGREE
uttar-pradesh,kaushambi,SC,SC,AGREE
uttar-pradesh,kheri,GEN,GEN,AGREE
uttar-pradesh,kushi nagar,GEN,GEN,AGREE
uttar-pradesh,lalganj,SC,SC,AGREE
uttar-pradesh,lucknow,GEN,GEN,AGREE
uttar-pradesh,machhlishahr,SC,SC,AGREE
uttar-pradesh,maharajganj,GEN,GEN,AGREE
uttar-pradesh,mainpuri,GEN,GEN,AGREE
uttar-pradesh,mainpuri(gen),GEN,,TCPD_ONLY
uttar-pradesh,mathura,GEN,GEN,AGREE
uttar-pradesh,meerut,GEN,GEN,AGREE
uttar-pradesh,mirzapur,GEN,GEN,AGREE
uttar-pradesh,misrikh,SC,SC,AGREE
uttar-pradesh,mohanlalganj,SC,SC,AGREE
uttar-pradesh,moradabad,GEN,GEN,AGREE
uttar-pradesh,muzaffarnagar,GEN,GEN,AGREE
uttar-pradesh,nagina,SC,SC,AGREE
uttar-pradesh,phulpur,GEN,GEN,AGREE
uttar-pradesh,pilibhit,GEN,GEN,AGREE
uttar-pradesh,pratapgarh,GEN,GEN,AGREE
uttar-pradesh,rae bareli,GEN,GEN,AGREE
uttar-pradesh,rampur,GEN,GEN,AGREE
uttar-pradesh,robertsganj,SC,SC,AGREE
uttar-pradesh,saharanpur,GEN,GEN,AGREE
uttar-pradesh,salempur,GEN,GEN,AGREE
uttar-pradesh,sambhal,GEN,GEN,AGREE
uttar-pradesh,sant kabir nagar,GEN,GEN,AGREE
uttar-pradesh,shahjahanpur,SC,SC,AGREE
uttar-pradesh,shrawasti,GEN,GEN,AGREE
uttar-pradesh,sitapur,GEN,GEN,AGREE
uttar-pradesh,sultanpur,GEN,GEN,AGREE
uttar-pradesh,unnao,GEN,GEN,AGREE
