layer_id,level,entity_state,entity_district,entity_city,partition_path,format,crs,simplification_algorithm,simplification_tolerance_deg,original_feature_count,retained_feature_count,unkeyed_count,unkeyed_keys_json,size_bytes,source_id,notes,delimitation_vintage
boundaries.in.panchayats.state=in_s03.district=291,panchayat,S03,291,,boundaries/in/panchayats/state=in_s03/district=291/all.geojson,geojson,EPSG:4326,coord-precision-round,0.0001,301,301,0,,981553,src-a1dd899f902d,,
boundaries.in.panchayats.state=in_s03.district=292,panchayat,S03,292,,boundaries/in/panchayats/state=in_s03/district=292/all.geojson,geojson,EPSG:4326,coord-precision-round,0.0001,67,67,0,,507133,src-a1dd899f902d,,
boundaries.in.panchayats.state=in_s03.district=293,panchayat,S03,293,,boundaries/in/panchayats/state=in_s03/district=293/all.geojson,geojson,EPSG:4326,coord-precision-round,0.0001,432,432,0,,828068,src-a1dd899f902d,,
boundaries.in.panchayats.state=in_s03.district=294,panchayat,S03,294,,boundaries/in/panchayats/state=in_s03/district=294/all.geojson,geojson,EPSG:4326,coord-precision-round,0.0001,259,259,0,,608648,src-a1dd899f902d,,
boundaries.in.panchayats.state=in_s03.district=295,panchayat,S03,295,,boundaries/in/panchayats/state=in_s03/district=295/all.geojson,geojson,EPSG:4326,coord-precision-round,0.0001,308,308,0,,956457,src-a1dd899f902d,,
boundaries.in.panchayats.state=in_s03.district=296,panchayat,S03,296,,boundaries/in/panchayats/state=in_s03/district=296/all.geojson,geojson,EPSG:4326,coord-precision-round,0.0001,211,211,0,,541939,src-a1dd899f902d,,
boundaries.in.panchayats.state=in_s03.district=297,panchayat,S03,297,,boundaries/in/panchayats/state=in_s03/district=297/all.geojson,geojson,EPSG:4326,coord-precision-round,0.0001,326,326,0,,992297,src-a1dd899f902d,,
boundaries.in.panchayats.state=in_s03.district=298,panchayat,S03,298,,boundaries/in/panchayats/state=in_s03/district=298/all.geojson,geojson,EPSG:4326,coord-precision-round,0.0001,119,119,0,,423645,src-a1dd899f902d,,
boundaries.in.panchayats.state=in_s03.district=299,panchayat,S03,299,,boundaries/in/panchayats/state=in_s03/district=299/all.geojson,geojson,EPSG:4326,coord-precision-round,0.0001,5,5,0,,185092,src-a1dd899f902d,,
boundaries.in.panchayats.state=in_s03.district=300,panchayat,S03,300,,boundaries/in/panchayats/state=in_s03/district=300/all.geojson,geojson,EPSG:4326,coord-precision-round,0.0001,198,198,0,,608790,src-a1dd899f902d,,
boundaries.in.panchayats.state=in_s03.district=301,panchayat,S03,301,,boundaries/in/panchayats/state=in_s03/district=301/all.geojson,geojson,EPSG:4326,coord-precision-round,0.0001,263,263,0,,641004,src-a1dd899f902d,,
boundaries.in.panchayats.state=in_s03.district=302,panchayat,S03,302,,boundaries/in/panchayats/state=in_s03/district=302/all.geojson,geojson,EPSG:4326,coord-precision-round,0.0001,559,559,0,,1412092,src-a1dd899f902d,,
boundaries.in.panchayats.state=in_s03.district=612,panchayat,S03,612,,boundaries/in/panchayats/state=in_s03/district=612/all.geojson,geojson,EPSG:4326,coord-precision-round,0.0001,226,226,0,,421687,src-a1dd899f902d,,
boundaries.in.panchayats.state=in_s03.district=616,panchayat,S03,616,,boundaries/in/panchayats/state=in_s03/district=616/all.geojson,geojson,EPSG:4326,coord-precision-round,0.0001,120,120,0,,393837,src-a1dd899f902d,,
boundaries.in.panchayats.state=in_s03.district=617,panchayat,S03,617,,boundaries/in/panchayats/state=in_s03/district=617/all.geojson,geojson,EPSG:4326,coord-precision-round,0.0001,269,269,0,,806522,src-a1dd899f902d,,
boundaries.in.panchayats.state=in_s03.district=618,panchayat,S03,618,,boundaries/in/panchayats/state=in_s03/district=618/all.geojson,geojson,EPSG:4326,coord-precision-round,0.0001,160,160,0,,439948,src-a1dd899f902d,,
boundaries.in.panchayats.state=in_s03.district=705,panchayat,S03,705,,boundaries/in/panchayats/state=in_s03/district=705/all.geojson,geojson,EPSG:4326,coord-precision-round,0.0001,367,367,0,,948521,src-a1dd899f902d,,
boundaries.in.panchayats.state=in_s03.district=706,panchayat,S03,706,,boundaries/in/panchayats/state=in_s03/district=706/all.geojson,geojson,EPSG:4326,coord-precision-round,0.0001,125,125,0,,263005,src-a1dd899f902d,,
boundaries.in.panchayats.state=in_s03.district=707,panchayat,S03,707,,boundaries/in/panchayats/state=in_s03/district=707/all.geojson,geojson,EPSG:4326,coord-precision-round,0.0001,122,122,0,,318488,src-a1dd899f902d,,
boundaries.in.panchayats.state=in_s03.district=708,panchayat,S03,708,,boundaries/in/panchayats/state=in_s03/district=708/all.geojson,geojson,EPSG:4326,coord-precision-round,0.0001,80,80,0,,306871,src-a1dd899f902d,,
boundaries.in.panchayats.state=in_s03.district=709,panchayat,S03,709,,boundaries/in/panchayats/state=in_s03/district=709/all.geojson,geojson,EPSG:4326,coord-precision-round,0.0001,126,126,0,,373248,src-a1dd899f902d,,
boundaries.in.panchayats.state=in_s03.district=710,panchayat,S03,710,,boundaries/in/panchayats/state=in_s03/district=710/all.geojson,geojson,EPSG:4326,coord-precision-round,0.0001,5,5,0,,154045,src-a1dd899f902d,,
boundaries.in.panchayats.state=in_s03.district=739,panchayat,S03,739,,boundaries/in/panchayats/state=in_s03/district=739/all.geojson,geojson,EPSG:4326,coord-precision-round,0.0001,41,41,0,,157846,src-a1dd899f902d,,
boundaries.in.panchayats.state=in_s03.district=756,panchayat,S03,756,,boundaries/in/panchayats/state=in_s03/district=756/all.geojson,geojson,EPSG:4326,coord-precision-round,0.0001,66,66,0,,270808,src-a1dd899f902d,,
boundaries.in.panchayats.state=in_s04.district=188,panchayat,S04,188,,boundaries/in/panchayats/state=in_s04/district=188/all.geojson,geojson,EPSG:4326,coord-precision-round,0.0001,273,273,0,,1123990,src-a1dd899f902d,,
boundaries.in.panchayats.state=in_s04.district=189,panchayat,S04,189,,boundaries/in/panchayats/state=in_s04/district=189/all.geojson,geojson,EPSG:4326,coord-precision-round,0.0001,373,373,0,,1162249,src-a1dd899f902d,,
boundaries.in.panchayats.state=in_s04.district=190,panchayat,S04,190,,boundaries/in/panchayats/state=in_s04/district=190/all.geojson,geojson,EPSG:4326,coord-precision-round,0.0001,398,398,0,,1012153,src-a1dd899f902d,,
boundaries.in.panchayats.state=in_s04.district=191,panchayat,S04,191,,boundaries/in/panchayats/state=in_s04/district=191/all.geojson,geojson,EPSG:4326,coord-precision-round,0.0001,472,472,0,,1007751,src-a1dd899f902d,,
boundaries.in.panchayats.state=in_s04.district=192,panchayat,S04,192,,boundaries/in/panchayats/state=in_s04/district=192/all.geojson,geojson,EPSG:4326,coord-precision-round,0.0001,443,443,0,,1155211,src-a1dd899f902d,,
boundaries.in.panchayats.state=in_s04.district=193,panchayat,S04,193,,boundaries/in/panchayats/state=in_s04/district=193/all.geojson,geojson,EPSG:4326,coord-precision-round,0.0001,331,331,0,,953185,src-a1dd899f902d,,
boundaries.in.panchayats.state=in_s04.district=194,panchayat,S04,194,,boundaries/in/panchayats/state=in_s04/district=194/all.geojson,geojson,EPSG:4326,coord-precision-round,0.0001,189,189,0,,602966,src-a1dd899f902d,,
boundaries.in.panchayats.state=in_s04.district=195,panchayat,S04,195,,boundaries/in/panchayats/state=in_s04/district=195/all.geojson,geojson,EPSG:4326,coord-precision-round,0.0001,528,528,0,,1410112,src-a1dd899f902d,,
boundaries.in.panchayats.state=in_s04.district=196,panchayat,S04,196,,boundaries/in/panchayats/state=in_s04/district=196/all.geojson,geojson,EPSG:4326,coord-precision-round,0.0001,561,561,0,,1719734,src-a1dd899f902d,,
boundaries.in.panchayats.state=in_s04.district=197,panchayat,S04,197,,boundaries/in/panchayats/state=in_s04/district=197/all.geojson,geojson,EPSG:4326,coord-precision-round,0.0001,374,374,0,,886583,src-a1dd899f902d,,
boundaries.in.panchayats.state=in_s04.district=198,panchayat,S04,198,,boundaries/in/panchayats/state=in_s04/district=198/all.geojson,geojson,EPSG:4326,coord-precision-round,0.0001,339,339,0,,952178,src-a1dd899f902d,,
boundaries.in.panchayats.state=in_s04.district=199,panchayat,S04,199,,boundaries/in/panchayats/state=in_s04/district=199/all.geojson,geojson,EPSG:4326,coord-precision-round,0.0001,187,187,0,,571979,src-a1dd899f902d,,
boundaries.in.panchayats.state=in_s04.district=200,panchayat,S04,200,,boundaries/in/panchayats/state=in_s04/district=200/all.geojson,geojson,EPSG:4326,coord-precision-round,0.0001,249,249,0,,902799,src-a1dd899f902d,,
boundaries.in.panchayats.state=in_s04.district=201,panchayat,S04,201,,boundaries/in/panchayats/state=in_s04/district=201/all.geojson,geojson,EPSG:4326,coord-precision-round,0.0001,469,469,0,,1421206,src-a1dd899f902d,,
boundaries.in.panchayats.state=in_s04.district=202,panchayat,S04,202,,boundaries/in/panchayats/state=in_s04/district=202/all.geojson,geojson,EPSG:4326,coord-precision-round,0.0001,141,141,0,,474851,src-a1dd899f902d,,
boundaries.in.panchayats.state=in_s04.district=203,panchayat,S04,203,,boundaries/in/panchayats/state=in_s04/district=203/all.geojson,geojson,EPSG:4326,coord-precision-round,0.0001,225,225,0,,1061281,src-a1dd899f902d,,
boundaries.in.panchayats.state=in_s04.district=204,panchayat,S04,204,,boundaries/in/panchayats/state=in_s04/district=204/all.geojson,geojson,EPSG:4326,coord-precision-round,0.0001,146,146,0,,449192,src-a1dd899f902d,,
boundaries.in.panchayats.state=in_s04.district=205,panchayat,S04,205,,boundaries/in/panchayats/state=in_s04/district=205/all.geojson,geojson,EPSG:4326,coord-precision-round,0.0001,217,217,0,,659705,src-a1dd899f902d,,
boundaries.in.panchayats.state=in_s04.district=206,panchayat,S04,206,,boundaries/in/panchayats/state=in_s04/district=206/all.geojson,geojson,EPSG:4326,coord-precision-round,0.0001,507,507,0,,1502208,src-a1dd899f902d,,
boundaries.in.panchayats.state=in_s04.district=207,panchayat,S04,207,,boundaries/in/panchayats/state=in_s04/district=207/all.geojson,geojson,EPSG:4326,coord-precision-round,0.0001,210,210,0,,517080,src-a1dd899f902d,,
boundaries.in.panchayats.state=in_s04.district=208,panchayat,S04,208,,boundaries/in/panchayats/state=in_s04/district=208/all.geojson,geojson,EPSG:4326,coord-precision-round,0.0001,604,604,0,,1499288,src-a1dd899f902d,,
boundaries.in.panchayats.state=in_s04.district=209,panchayat,S04,209,,boundaries/in/panchayats/state=in_s04/district=209/all.geojson,geojson,EPSG:4326,coord-precision-round,0.0001,354,354,0,,1038041,src-a1dd899f902d,,
