electoral_id,lgd_district_id,is_primary,lgd_snapshot,source_id
IN-AC-2008-andhra-pradesh-3417,andhra-pradesh/tirupati,true,2026-06-05,src-3a2ad82ba6e5
IN-AC-2008-andhra-pradesh-3418,andhra-pradesh/ntr,true,2026-06-05,src-3a2ad82ba6e5
IN-AC-2008-andhra-pradesh-3419,andhra-pradesh/ntr,true,2026-06-05,src-3a2ad82ba6e5
IN-AC-2008-andhra-pradesh-3420,andhra-pradesh/ntr,true,2026-06-05,src-3a2ad82ba6e5
IN-AC-2008-andhra-pradesh-3421,andhra-pradesh/ntr,true,2026-06-05,src-3a2ad82ba6e5
IN-AC-2008-andhra-pradesh-3422,andhra-pradesh/ntr,true,2026-06-05,src-3a2ad82ba6e5
IN-AC-2008-andhra-pradesh-3423,andhra-pradesh/ntr,true,2026-06-05,src-3a2ad82ba6e5
IN-AC-2008-andhra-pradesh-3424,andhra-pradesh/ntr,true,2026-06-05,src-3a2ad82ba6e5
IN-AC-2008-andhra-pradesh-3425,andhra-pradesh/visakhapatnam,true,2026-06-05,src-3a2ad82ba6e5
IN-AC-2008-andhra-pradesh-3426,andhra-pradesh/visakhapatnam,true,2026-06-05,src-3a2ad82ba6e5
IN-AC-2008-andhra-pradesh-3427,andhra-pradesh/vizianagaram,true,2026-06-05,src-3a2ad82ba6e5
IN-AC-2008-andhra-pradesh-3428,andhra-pradesh/visakhapatnam,true,2026-06-05,src-3a2ad82ba6e5
IN-AC-2008-andhra-pradesh-3429,andhra-pradesh/visakhapatnam,true,2026-06-05,src-3a2ad82ba6e5
IN-AC-2008-andhra-pradesh-3431,andhra-pradesh/visakhapatnam,true,2026-06-05,src-3a2ad82ba6e5
IN-AC-2008-andhra-pradesh-3432,andhra-pradesh/vizianagaram,true,2026-06-05,src-3a2ad82ba6e5
IN-AC-2008-andhra-pradesh-3433,andhra-pradesh/vizianagaram,true,2026-06-05,src-3a2ad82ba6e5
IN-AC-2008-andhra-pradesh-3434,andhra-pradesh/srikakulam,true,2026-06-05,src-3a2ad82ba6e5
IN-AC-2008-andhra-pradesh-3435,andhra-pradesh/vizianagaram,true,2026-06-05,src-3a2ad82ba6e5
IN-AC-2008-andhra-pradesh-3436,andhra-pradesh/vizianagaram,true,2026-06-05,src-3a2ad82ba6e5
IN-AC-2008-andhra-pradesh-3437,andhra-pradesh/vizianagaram,true,2026-06-05,src-3a2ad82ba6e5
IN-AC-2008-andhra-pradesh-3438,andhra-pradesh/vizianagaram,true,2026-06-05,src-3a2ad82ba6e5
IN-AC-2008-arunachal-pradesh-1381,arunachal-pradesh/dibang-valley,true,2026-06-05,src-3a2ad82ba6e5
IN-AC-2008-arunachal-pradesh-1382,arunachal-pradesh/changlang,true,2026-06-05,src-3a2ad82ba6e5
IN-AC-2008-arunachal-pradesh-1383,arunachal-pradesh/tirap,true,2026-06-05,src-3a2ad82ba6e5
IN-AC-2008-arunachal-pradesh-1384,arunachal-pradesh/changlang,true,2026-06-05,src-3a2ad82ba6e5
IN-AC-2008-arunachal-pradesh-1385,arunachal-pradesh/changlang,true,2026-06-05,src-3a2ad82ba6e5
IN-AC-2008-arunachal-pradesh-1386,arunachal-pradesh/lohit,true,2026-06-05,src-3a2ad82ba6e5
IN-AC-2008-arunachal-pradesh-1386,arunachal-pradesh/namsai,false,2026-06-05,src-3a2ad82ba6e5
IN-AC-2008-arunachal-pradesh-1387,arunachal-pradesh/lower-dibang-valley,true,2026-06-05,src-3a2ad82ba6e5
IN-AC-2008-arunachal-pradesh-1388,arunachal-pradesh/anjaw,true,2026-06-05,src-3a2ad82ba6e5
IN-AC-2008-arunachal-pradesh-1389,arunachal-pradesh/longding,true,2026-06-05,src-3a2ad82ba6e5
IN-AC-2008-arunachal-pradesh-1390,arunachal-pradesh/tirap,true,2026-06-05,src-3a2ad82ba6e5
IN-AC-2008-arunachal-pradesh-1391,arunachal-pradesh/tirap,true,2026-06-05,src-3a2ad82ba6e5
IN-AC-2008-arunachal-pradesh-1392,arunachal-pradesh/namsai,true,2026-06-05,src-3a2ad82ba6e5
IN-AC-2008-arunachal-pradesh-1393,arunachal-pradesh/longding,true,2026-06-05,src-3a2ad82ba6e5
IN-AC-2008-arunachal-pradesh-1394,arunachal-pradesh/upper-siang,true,2026-06-05,src-3a2ad82ba6e5
IN-AC-2008-arunachal-pradesh-1395,arunachal-pradesh/east-siang,true,2026-06-05,src-3a2ad82ba6e5
IN-AC-2008-arunachal-pradesh-1396,arunachal-pradesh/changlang,true,2026-06-05,src-3a2ad82ba6e5
IN-AC-2008-arunachal-pradesh-1397,arunachal-pradesh/changlang,true,2026-06-05,src-3a2ad82ba6e5
IN-AC-2008-arunachal-pradesh-1398,arunachal-pradesh/namsai,true,2026-06-05,src-3a2ad82ba6e5
IN-AC-2008-arunachal-pradesh-1399,arunachal-pradesh/tirap,true,2026-06-05,src-3a2ad82ba6e5
IN-AC-2008-arunachal-pradesh-1400,arunachal-pradesh/lower-siang,true,2026-06-05,src-3a2ad82ba6e5
IN-AC-2008-arunachal-pradesh-1401,arunachal-pradesh/siang,true,2026-06-05,src-3a2ad82ba6e5
IN-AC-2008-arunachal-pradesh-1402,arunachal-pradesh/east-siang,true,2026-06-05,src-3a2ad82ba6e5
IN-AC-2008-arunachal-pradesh-1403,arunachal-pradesh/east-siang,true,2026-06-05,src-3a2ad82ba6e5
IN-AC-2008-arunachal-pradesh-1404,arunachal-pradesh/longding,true,2026-06-05,src-3a2ad82ba6e5
IN-AC-2008-arunachal-pradesh-1405,arunachal-pradesh/lower-dibang-valley,true,2026-06-05,src-3a2ad82ba6e5
IN-AC-2008-arunachal-pradesh-1406,arunachal-pradesh/lohit,true,2026-06-05,src-3a2ad82ba6e5
IN-AC-2008-arunachal-pradesh-1407,arunachal-pradesh/upper-siang,true,2026-06-05,src-3a2ad82ba6e5
IN-AC-2008-arunachal-pradesh-1408,arunachal-pradesh/west-siang,true,2026-06-05,src-3a2ad82ba6e5
IN-AC-2008-arunachal-pradesh-1409,arunachal-pradesh/west-siang,true,2026-06-05,src-3a2ad82ba6e5
IN-AC-2008-arunachal-pradesh-1410,arunachal-pradesh/bichom,false,2026-06-05,src-3a2ad82ba6e5
IN-AC-2008-arunachal-pradesh-1410,arunachal-pradesh/east-kameng,true,2026-06-05,src-3a2ad82ba6e5
IN-AC-2008-arunachal-pradesh-1411,arunachal-pradesh/leparada,true,2026-06-05,src-3a2ad82ba6e5
IN-AC-2008-arunachal-pradesh-1412,arunachal-pradesh/bichom,true,2026-06-05,src-3a2ad82ba6e5
IN-AC-2008-arunachal-pradesh-1412,arunachal-pradesh/west-kameng,false,2026-06-05,src-3a2ad82ba6e5
IN-AC-2008-arunachal-pradesh-1413,arunachal-pradesh/east-kameng,true,2026-06-05,src-3a2ad82ba6e5
IN-AC-2008-arunachal-pradesh-1414,arunachal-pradesh/upper-subansiri,true,2026-06-05,src-3a2ad82ba6e5
IN-AC-2008-arunachal-pradesh-1415,arunachal-pradesh/west-kameng,true,2026-06-05,src-3a2ad82ba6e5
IN-AC-2008-arunachal-pradesh-1416,arunachal-pradesh/papum-pare,true,2026-06-05,src-3a2ad82ba6e5
IN-AC-2008-arunachal-pradesh-1417,arunachal-pradesh/upper-subansiri,true,2026-06-05,src-3a2ad82ba6e5
