electoral_id,lgd_district_id,delim_year,boundary_snapshot,overlap_kind
IN-AC-2008-goa-3688,goa/south-goa,2008,lgd:2026-06-01,wholly_inside
IN-AC-2008-gujarat-2690,gujarat/gandhinagar,2008,lgd:2026-06-01,wholly_inside
IN-AC-2008-gujarat-2692,gujarat/ahmedabad,2008,lgd:2026-06-01,wholly_inside
IN-AC-2008-gujarat-2703,gujarat/amreli,2008,lgd:2026-06-01,wholly_inside
IN-AC-2008-gujarat-2704,gujarat/rajkot,2008,lgd:2026-06-01,wholly_inside
IN-AC-2008-gujarat-2705,gujarat/bhavnagar,2008,lgd:2026-06-01,wholly_inside
IN-AC-2008-gujarat-2710,gujarat/anand,2008,lgd:2026-06-01,wholly_inside
IN-AC-2008-gujarat-2714,gujarat/kheda,2008,lgd:2026-06-01,wholly_inside
IN-AC-2008-gujarat-2717,gujarat/banas-kantha,2008,lgd:2026-06-01,wholly_inside
IN-AC-2008-gujarat-2723,gujarat/patan,2008,lgd:2026-06-01,partial
IN-AC-2008-gujarat-2723,gujarat/vav-tharad,2008,lgd:2026-06-01,partial
IN-AC-2008-gujarat-2724,gujarat/surat,2008,lgd:2026-06-01,wholly_inside
IN-AC-2008-gujarat-2726,gujarat/tapi,2008,lgd:2026-06-01,wholly_inside
IN-AC-2008-gujarat-2731,gujarat/bharuch,2008,lgd:2026-06-01,wholly_inside
IN-AC-2008-gujarat-2733,gujarat/narmada,2008,lgd:2026-06-01,wholly_inside
IN-AC-2008-gujarat-2736,gujarat/vadodara,2008,lgd:2026-06-01,wholly_inside
IN-AC-2008-gujarat-2741,gujarat/botad,2008,lgd:2026-06-01,wholly_inside
IN-AC-2008-gujarat-2745,gujarat/chhotaudepur,2008,lgd:2026-06-01,wholly_inside
IN-AC-2008-gujarat-2747,gujarat/panch-mahals,2008,lgd:2026-06-01,wholly_inside
IN-AC-2008-gujarat-2752,gujarat/dahod,2008,lgd:2026-06-01,wholly_inside
IN-AC-2008-gujarat-2758,gujarat/mahisagar,2008,lgd:2026-06-01,wholly_inside
