external_key,party_short_raw,state,year,n_rows,tcpd_party_id,tcpd_party_type,tcpd_party_name,tcpd_frequent_abbrev,current_party_id,proposed_party_id,action,oracle,curator_note
ADAL,ADAL,madhya-pradesh|uttar-pradesh,2017-2024,28,956,,Apna Dal (Soneylal),ADAL,parties.IN.UNK,parties.IN.ADAL,mint-new,tcpd-unique,TCPD Party_ID 956 ('Apna Dal (Soneylal)'); minting new slug 'parties.IN.ADAL' from frequent_abbrev 'ADAL'.
ADARSH JANTA PARTY,ADARSH JANTA PARTY,uttar-pradesh,2022,2,25042,,,,parties.IN.UNK,,disputed,tcpd-unique,TCPD Party_ID 25042 present in AE/GE panel but absent from per-party catalogue; cannot derive mint payload (short / full / type / abbrevs).
ADARSH NYAY RAKSHAK PARTY,ADARSH NYAY RAKSHAK PARTY,madhya-pradesh,2020,1,24379,,Adarsh Nyay Rakshak Party,ANRP,parties.IN.UNK,parties.IN.ANRP,mint-new,tcpd-unique,TCPD Party_ID 24379 ('Adarsh Nyay Rakshak Party'); minting new slug 'parties.IN.ANRP' from frequent_abbrev 'ANRP'.
ADARSH SAMAJ PARTY,ADARSH SAMAJ PARTY,uttar-pradesh,2019-2022,3,85,Local Party,Adarsh Samaj Party,A S P,parties.IN.UNK,parties.IN.A_S_P,mint-new,tcpd-unique,TCPD Party_ID 85 ('Adarsh Samaj Party'); minting new slug 'parties.IN.A_S_P' from frequent_abbrev 'A S P'.
ADARSHWAADI CONGRESS PARTY,ADARSHWAADI CONGRESS PARTY,uttar-pradesh,2022,1,89,,Adarshwaadi Congress Party,AACP,parties.IN.UNK,parties.IN.AACP,mint-new,tcpd-unique,TCPD Party_ID 89 ('Adarshwaadi Congress Party'); minting new slug 'parties.IN.AACP' from frequent_abbrev 'AACP'.
ADBNP,ADBNP,haryana,2019,2,24479,,Aadarsh Bharat Nirman Dal,ADBNP,parties.IN.UNK,parties.IN.ADBNP,mint-new,tcpd-unique,TCPD Party_ID 24479 ('Aadarsh Bharat Nirman Dal'); minting new slug 'parties.IN.ADBNP' from frequent_abbrev 'ADBNP'.
ADHIKAR,ADHIKAR,uttar-pradesh,2017,1,92,,Adhikar Party,ADHIKAR,parties.IN.UNK,parties.IN.ADHIKAR,mint-new,tcpd-unique,TCPD Party_ID 92 ('Adhikar Party'); minting new slug 'parties.IN.ADHIKAR' from frequent_abbrev 'ADHIKAR'.
ADIM BHARTIYA DAL,ADIM BHARTIYA DAL,uttar-pradesh,2022,1,24366,,Adim Bhartiya Dal,ABD,parties.IN.UNK,parties.IN.ABD,mint-new,tcpd-unique,TCPD Party_ID 24366 ('Adim Bhartiya Dal'); minting new slug 'parties.IN.ABD' from frequent_abbrev 'ABD'.
ADJP,ADJP,punjab,2024,1,,,,,parties.IN.UNK,,skip,none,not in TCPD AE+GE panel; not in legacy elections_candidacies parquet; cannot resolve mechanically.
ADJSP,ADJSP,punjab,2012,1,66,,Adarsh Jan Shakti Party,ADJSP,parties.IN.UNK,parties.IN.ADJSP,mint-new,tcpd-unique,TCPD Party_ID 66 ('Adarsh Jan Shakti Party'); minting new slug 'parties.IN.ADJSP' from frequent_abbrev 'ADJSP'.
