entity_id,time,fuel_type,value,source_id
gujarat,2018,coal,15492,src-4f495cca1e69
gujarat,2018,gas,7551.41,src-4f495cca1e69
gujarat,2018,hydro,1990,src-4f495cca1e69
gujarat,2018,nuclear,440,src-4f495cca1e69
gujarat,2018,renewable,8707.72,src-4f495cca1e69
gujarat,2019,all,36907.18,src-4f495cca1e69
gujarat,2019,coal,16232,src-4f495cca1e69
gujarat,2019,gas,7551.41,src-4f495cca1e69
gujarat,2019,hydro,1990,src-4f495cca1e69
gujarat,2019,nuclear,440,src-4f495cca1e69
gujarat,2019,renewable,10693.77,src-4f495cca1e69
gujarat,2020,all,39287.66,src-4f495cca1e69
gujarat,2020,coal,16092,src-4f495cca1e69
gujarat,2020,gas,7551.41,src-4f495cca1e69
gujarat,2020,hydro,1990,src-4f495cca1e69
gujarat,2020,nuclear,440,src-4f495cca1e69
gujarat,2020,renewable,13214.25,src-4f495cca1e69
gujarat,2021,all,42661.31,src-4f495cca1e69
gujarat,2021,coal,16092,src-4f495cca1e69
gujarat,2021,gas,7551.41,src-4f495cca1e69
gujarat,2021,hydro,1990,src-4f495cca1e69
gujarat,2021,nuclear,440,src-4f495cca1e69
gujarat,2021,renewable,16587.899999999998,src-4f495cca1e69
gujarat,2022,all,45509.27,src-4f495cca1e69
gujarat,2022,coal,16092,src-4f495cca1e69
gujarat,2022,gas,7551.41,src-4f495cca1e69
gujarat,2022,hydro,1990,src-4f495cca1e69
gujarat,2022,nuclear,440,src-4f495cca1e69
gujarat,2022,renewable,19435.86,src-4f495cca1e69
gujarat,2023,all,52945.13,src-4f495cca1e69
gujarat,2023,coal,16092,src-4f495cca1e69
gujarat,2023,gas,7551.41,src-4f495cca1e69
gujarat,2023,hydro,1990,src-4f495cca1e69
gujarat,2023,nuclear,1840,src-4f495cca1e69
gujarat,2023,renewable,25471.719999999998,src-4f495cca1e69
gujarat,2024,all,58221.44,src-4f495cca1e69
gujarat,2024,coal,16092,src-4f495cca1e69
gujarat,2024,gas,6896.41,src-4f495cca1e69
gujarat,2024,hydro,1990,src-4f495cca1e69
gujarat,2024,nuclear,1840,src-4f495cca1e69
gujarat,2024,renewable,31403.03,src-4f495cca1e69
gujarat,2025,all,71690.64,src-4f495cca1e69
gujarat,2025,coal,16092,src-4f495cca1e69
gujarat,2025,gas,6580.31,src-4f495cca1e69
gujarat,2025,hydro,1990,src-4f495cca1e69
gujarat,2025,nuclear,1840,src-4f495cca1e69
gujarat,2025,renewable,45188.33,src-4f495cca1e69
haryana,2015,all,6691.97,src-4f495cca1e69
haryana,2015,coal,5980,src-4f495cca1e69
haryana,2015,gas,431.59,src-4f495cca1e69
haryana,2015,renewable,280.38,src-4f495cca1e69
haryana,2016,all,6319.61,src-4f495cca1e69
haryana,2016,coal,5540,src-4f495cca1e69
haryana,2016,gas,431.59,src-4f495cca1e69
haryana,2016,renewable,348.02,src-4f495cca1e69
haryana,2017,all,6482.08,src-4f495cca1e69
haryana,2017,coal,5540,src-4f495cca1e69
haryana,2017,gas,431.59,src-4f495cca1e69
haryana,2017,renewable,510.49,src-4f495cca1e69
haryana,2018,all,6490.7,src-4f495cca1e69
haryana,2018,coal,5540,src-4f495cca1e69
haryana,2018,gas,431.59,src-4f495cca1e69
haryana,2018,renewable,519.11,src-4f495cca1e69
haryana,2019,all,6518.78,src-4f495cca1e69
haryana,2019,coal,5540,src-4f495cca1e69
haryana,2019,gas,431.59,src-4f495cca1e69
haryana,2019,renewable,547.19,src-4f495cca1e69
haryana,2020,all,6524.1,src-4f495cca1e69
haryana,2020,coal,5330,src-4f495cca1e69
haryana,2020,gas,431.59,src-4f495cca1e69
haryana,2020,renewable,762.51,src-4f495cca1e69
haryana,2021,all,7003.72,src-4f495cca1e69
haryana,2021,coal,5330,src-4f495cca1e69
haryana,2021,gas,431.59,src-4f495cca1e69
haryana,2021,renewable,1242.13,src-4f495cca1e69
haryana,2022,all,7123.68,src-4f495cca1e69
haryana,2022,coal,5330,src-4f495cca1e69
haryana,2022,gas,431.59,src-4f495cca1e69
haryana,2022,renewable,1362.0900000000001,src-4f495cca1e69
haryana,2023,all,7594.51,src-4f495cca1e69
haryana,2023,coal,5330,src-4f495cca1e69
haryana,2023,gas,431.59,src-4f495cca1e69
haryana,2023,renewable,1832.92,src-4f495cca1e69
haryana,2024,all,8211.53,src-4f495cca1e69
haryana,2024,coal,5330,src-4f495cca1e69
haryana,2024,gas,431.59,src-4f495cca1e69
haryana,2024,renewable,2449.9399999999996,src-4f495cca1e69
haryana,2025,all,8773.31,src-4f495cca1e69
haryana,2025,coal,5330,src-4f495cca1e69
haryana,2025,gas,431.59,src-4f495cca1e69
haryana,2025,renewable,3011.7200000000003,src-4f495cca1e69
himachal-pradesh,2015,all,10286.9,src-4f495cca1e69
himachal-pradesh,2015,hydro,9481.32,src-4f495cca1e69
himachal-pradesh,2015,renewable,805.5799999999999,src-4f495cca1e69
himachal-pradesh,2016,all,10534.79,src-4f495cca1e69
himachal-pradesh,2016,hydro,9688.32,src-4f495cca1e69
himachal-pradesh,2016,renewable,846.4699999999999,src-4f495cca1e69
himachal-pradesh,2017,all,10669.6,src-4f495cca1e69
himachal-pradesh,2017,hydro,9800.32,src-4f495cca1e69
himachal-pradesh,2017,renewable,869.28,src-4f495cca1e69
