state,event,constituency_no,constituency_name,n_oracles_present,n_oracles_agreeing_party,n_oracles_agreeing_candidate,yen_gov_winner_party_id,yen_gov_winner_candidate_name,yen_gov_winner_votes,other_sources,party_id_alliance,verdict_party,verdict_candidate,verdict,curator_note,curator_source_id
west-bengal,AcGenApr2021,103,BIJPUR,2,2,2,parties.IN.AITC,SUBODH ADHIKARY,66625,tcpd-state:parties.IN.AITC:SUBODH ADHIKARY:66625,,VERIFIED,VERIFIED,VERIFIED,,
west-bengal,AcGenApr2021,104,NAIHATI,2,2,2,parties.IN.AITC,PARTHA BHOWMICK,77753,tcpd-state:parties.IN.AITC:PARTHA BHOWMICK:77753,,VERIFIED,VERIFIED,VERIFIED,,
west-bengal,AcGenApr2021,105,BHATPARA,2,2,2,parties.IN.BJP,PAWAN KUMAR SINGH,57244,tcpd-state:parties.IN.BJP:PAWAN KUMAR SINGH:57244,,VERIFIED,VERIFIED,VERIFIED,,
west-bengal,AcGenApr2021,106,JAGATDAL,2,2,2,parties.IN.AITC,SOMENATH SHYAM ICHINI,87030,tcpd-state:parties.IN.AITC:SOMENATH SHYAM ICHINI:87030,,VERIFIED,VERIFIED,VERIFIED,,
west-bengal,AcGenApr2021,107,NOAPARA,2,2,2,parties.IN.AITC,MANJU BASU,94203,tcpd-state:parties.IN.AITC:MANJU BASU:94203,,VERIFIED,VERIFIED,VERIFIED,,
west-bengal,AcGenApr2021,108,BARRACKPUR,2,2,2,parties.IN.AITC,RAJU CHAKRABORTY (RAJ),68887,tcpd-state:parties.IN.AITC:RAJU CHAKRABORTY (RAJ):68887,,VERIFIED,VERIFIED,VERIFIED,,
west-bengal,AcGenApr2021,109,KHARDAHA,2,2,1,parties.IN.AITC,SOBHANDEB CHATTOPADHYAY,114086,tcpd-state:parties.IN.AITC:KAJAL SINHA:89807,,VERIFIED,DISPUTED,DISPUTED,,
west-bengal,AcGenApr2021,110,DUM DUM UTTAR,2,2,2,parties.IN.AITC,CHANDRIMA BHATTACHARYA,95465,tcpd-state:parties.IN.AITC:CHANDRIMA BHATTACHARYA:95465,,VERIFIED,VERIFIED,VERIFIED,,
west-bengal,AcGenApr2021,111,PANIHATI,2,2,2,parties.IN.AITC,NIRMAL GHOSH,86495,tcpd-state:parties.IN.AITC:NIRMAL GHOSH:86495,,VERIFIED,VERIFIED,VERIFIED,,
west-bengal,AcGenApr2021,112,KAMARHATI,2,2,2,parties.IN.AITC,MADAN MITRA,73845,tcpd-state:parties.IN.AITC:MADAN MITRA:73845,,VERIFIED,VERIFIED,VERIFIED,,
west-bengal,AcGenApr2021,113,BARANAGAR,2,2,2,parties.IN.AITC,TAPAS ROY,85615,tcpd-state:parties.IN.AITC:TAPAS ROY:85615,,VERIFIED,VERIFIED,VERIFIED,,
west-bengal,AcGenApr2021,114,DUM DUM,2,2,2,parties.IN.AITC,BRTYA BASU,87999,tcpd-state:parties.IN.AITC:BRTYA BASU:87999,,VERIFIED,VERIFIED,VERIFIED,,
west-bengal,AcGenApr2021,115,RAJARHAT NEW TOWN,2,2,2,parties.IN.AITC,TAPASH CHATTERJEE,127374,tcpd-state:parties.IN.AITC:TAPASH CHATTERJEE:127374,,VERIFIED,VERIFIED,VERIFIED,,
