entity_id,time,value,sex,source_id,processing_level
IN-AC-2008-tamil-nadu-3919,2021,129701,female,src-99455a24d3c4,minor
IN-AC-2008-tamil-nadu-3919,2021,120433,male,src-99455a24d3c4,minor
IN-AC-2008-tamil-nadu-3919,2021,43,third_gender,src-99455a24d3c4,minor
IN-AC-2008-tamil-nadu-3920,2021,114467,female,src-99455a24d3c4,minor
IN-AC-2008-tamil-nadu-3920,2021,105073,male,src-99455a24d3c4,minor
IN-AC-2008-tamil-nadu-3920,2021,13,third_gender,src-99455a24d3c4,minor
IN-AC-2008-tamil-nadu-3921,2021,113788,female,src-99455a24d3c4,minor
IN-AC-2008-tamil-nadu-3921,2021,106188,male,src-99455a24d3c4,minor
IN-AC-2008-tamil-nadu-3921,2021,72,third_gender,src-99455a24d3c4,minor
IN-AC-2008-tamil-nadu-3922,2021,108411,female,src-99455a24d3c4,minor
IN-AC-2008-tamil-nadu-3922,2021,99241,male,src-99455a24d3c4,minor
IN-AC-2008-tamil-nadu-3922,2021,12,third_gender,src-99455a24d3c4,minor
IN-AC-2008-tamil-nadu-3923,2021,117407,female,src-99455a24d3c4,minor
IN-AC-2008-tamil-nadu-3923,2021,110724,male,src-99455a24d3c4,minor
IN-AC-2008-tamil-nadu-3923,2021,22,third_gender,src-99455a24d3c4,minor
IN-AC-2008-tamil-nadu-3924,2021,111959,female,src-99455a24d3c4,minor
IN-AC-2008-tamil-nadu-3924,2021,106351,male,src-99455a24d3c4,minor
IN-AC-2008-tamil-nadu-3924,2021,7,third_gender,src-99455a24d3c4,minor
IN-AC-2008-tamil-nadu-3925,2021,142546,female,src-99455a24d3c4,minor
IN-AC-2008-tamil-nadu-3925,2021,138968,male,src-99455a24d3c4,minor
IN-AC-2008-tamil-nadu-3925,2021,68,third_gender,src-99455a24d3c4,minor
IN-AC-2008-tamil-nadu-3926,2021,136883,female,src-99455a24d3c4,minor
IN-AC-2008-tamil-nadu-3926,2021,136637,male,src-99455a24d3c4,minor
IN-AC-2008-tamil-nadu-3926,2021,51,third_gender,src-99455a24d3c4,minor
