lgd_state_code,ac_lgd_code,lgd_district_code,village_count,is_primary
10,1181,198,931,true
10,1182,198,247,true
10,1183,198,318,true
10,1184,219,256,true
10,1185,198,197,true
10,1186,207,321,true
10,1187,206,108,true
10,1188,206,133,true
10,1189,206,102,true
10,1190,206,142,true
10,1191,206,192,true
10,1192,206,122,true
10,1193,215,120,true
10,1194,189,286,true
10,1195,215,311,true
10,1196,189,579,true
10,1197,215,195,true
10,1198,189,218,true
10,1199,201,415,true
10,1200,201,166,true
10,1201,201,329,true
10,1202,201,80,true
10,1203,201,156,true
10,1204,201,325,true
10,1205,202,66,true
10,1206,202,135,true
10,1207,217,162,true
10,1208,202,79,true
10,1209,202,135,true
10,1210,216,139,true
10,1211,214,304,true
10,1212,203,225,true
10,1213,214,299,true
10,1214,203,240,true
10,1215,203,200,true
10,1216,203,219,true
10,1217,205,148,true
10,1218,205,193,true
10,1219,205,101,true
10,1220,216,192,true
10,1221,216,116,true
10,1222,216,99,true
10,1223,206,143,true
10,1224,206,106,true
10,1225,206,117,true
10,1226,195,125,true
10,1227,195,220,true
10,1228,206,187,true
10,1229,218,186,true
10,1230,218,154,true
10,1231,222,173,true
10,1232,222,194,true
10,1233,218,217,true
10,1234,218,221,true
10,1235,212,135,true
10,1236,207,447,true
10,1237,204,217,true
10,1238,212,143,true
10,1239,207,215,true
10,1240,204,295,true
10,1241,208,208,true
10,1242,208,248,true
10,1243,208,161,true
10,1244,208,198,true
10,1245,208,145,true
10,1246,208,172,true
10,1247,209,147,true
10,1248,209,184,true
10,1249,209,223,true
10,1250,209,162,true
10,1251,209,192,true
10,1252,209,257,true
10,1253,209,168,true
10,1254,219,183,true
10,1255,210,199,true
10,1256,210,290,true
10,1257,210,136,true
10,1258,210,321,true
10,1259,210,187,true
10,1260,211,111,true
10,1261,211,113,true
10,1262,213,139,true
10,1263,211,108,true
10,1264,213,107,true
10,1265,213,104,true
10,1266,212,221,true
10,1267,212,58,true
10,1268,212,168,true
10,1269,212,234,true
10,1270,212,183,true
10,1271,212,167,true
10,1272,212,137,true
10,1274,212,1,true
10,1275,212,177,true
10,1276,212,26,true
10,1278,214,216,true
10,1279,214,197,true
10,1280,214,166,true
10,1281,201,174,true
10,1282,214,108,true
10,1283,214,195,true
10,1284,213,186,true
10,1285,213,135,true
10,1286,213,182,true
10,1287,213,125,true
10,1288,213,147,true
10,1289,213,236,true
10,1290,195,117,true
10,1291,217,220,true
10,1292,195,189,true
10,1293,217,180,true
10,1294,217,159,true
10,1295,217,184,true
10,1296,218,194,true
10,1297,218,82,true
10,1298,218,247,true
10,1299,218,176,true
10,1300,218,317,true
10,1301,218,175,true
10,1302,200,429,true
10,1303,200,590,true
10,1304,215,483,true
10,1305,215,726,true
10,1306,200,382,true
10,1307,215,318,true
10,1308,220,80,true
10,1308,221,64,false
10,1309,213,105,true
10,1310,213,116,true
10,1311,213,116,true
10,1312,221,114,true
10,1313,220,152,true
10,1314,221,127,true
10,1315,221,157,true
10,1316,221,151,true
10,1317,221,118,true
10,1318,221,96,true
10,1319,221,133,true
10,1320,222,248,true
10,1321,222,299,true
10,1322,222,245,true
10,1323,222,216,true
10,1324,222,112,true
10,1325,222,193,true
10,1326,223,164,true
10,1327,223,125,true
10,1328,223,98,true
10,1329,205,127,true
10,1330,223,118,true
10,1331,223,88,true
10,1332,217,68,true
10,1333,217,114,true
10,1334,217,212,true
10,1335,224,184,true
10,1336,217,112,true
10,1337,217,131,true
10,1338,208,163,true
10,1339,208,211,true
10,1340,208,217,true
10,1341,208,354,true
10,1341,211,103,false
10,1342,208,240,true
10,1343,224,275,true
10,1344,211,190,true
10,1345,211,182,true
10,1346,211,202,true
10,1347,211,348,true
10,1348,211,168,true
10,1349,211,309,true
11,1350,741,1,true
11,1351,227,27,true
11,1352,741,34,true
11,1353,742,33,true
11,1354,225,2,false
11,1354,226,20,true
11,1356,225,1,false
11,1356,741,26,true
11,1357,228,13,true
11,1358,225,7,false
11,1358,226,19,true
11,1359,225,14,true
11,1359,741,1,false
11,1360,226,19,true
11,1361,228,17,true
11,1362,225,20,true
11,1362,741,4,false
11,1363,227,19,true
11,1364,741,23,true
11,1365,227,15,true
11,1366,227,25,true
11,1367,227,26,true
11,1368,227,14,true
11,1369,225,1,false
11,1369,227,1,false
11,1369,741,25,true
11,1370,742,35,true
11,1371,227,1,false
11,1371,742,11,true
11,1372,225,7,true
11,1373,742,29,true
11,1374,227,17,true
11,1375,225,9,true
11,1375,227,8,false
11,1376,225,4,true
11,1378,227,1,false
11,1378,741,7,true
11,1379,228,18,true
11,1380,228,24,true
12,1381,230,142,true
12,1382,229,51,true
12,1383,239,30,true
